Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,19/03/2020,Soligorsk,Belaz Zhodino,a2U6F000002L7xWUAS,a2U6F000002L7xDUAS,Belarus,0,1,1,-1,0,0,0,0,0,1,1,-1
,,,,,,,,,,,19/03/2020,BGU Minsk,Bate Borisov,a2U6F000002L7xEUAS,a2U6F000002L7xFUAS,Belarus,3,1,4,2,2,0,2,2,1,1,2,0
,,,,,,,,,,,19/06/2020,Slutsk,Neman,a2U6F000002L7xLUAS,a2U6F000002L7xYUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,19/06/2020,Slavia Mozyr,Smolevichi,a2U6F000002L7xRUAS,a2U6F000002L7xCUAS,Belarus,2,1,3,1,0,0,0,0,2,1,3,1
,,,,,,,,,,,19/07/2020,Belaz Zhodino,Dinamo Minsk,a2U6F000002L7xDUAS,a2U6F000002L7xMUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,19/07/2020,Neman,Soligorsk,a2U6F000002L7xYUAS,a2U6F000002L7xWUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,19/07/2020,Minsk,BGU Minsk,a2U6F000002L7xBUAS,a2U6F000002L7xEUAS,Belarus,2,1,3,1,1,1,2,0,1,0,1,1
,,,,,,,,,,,19/09/2020,Gorodeya,Belaz Zhodino,a2U6F000002L7xaUAC,a2U6F000002L7xDUAS,Belarus,1,3,4,-2,0,2,2,-2,1,1,2,0
,,,,,,,,,,,19/09/2020,Dinamo Brest,BGU Minsk,a2U6F000002L7xXUAS,a2U6F000002L7xEUAS,Belarus,2,1,3,1,2,1,3,1,0,0,0,0
,,,,,,,,,,,19/09/2020,Vitebsk,Belshina,a2U6F000002L7xQUAS,a2U6F000002L7xVUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,20/03/2020,Dinamo Minsk,Ruh Brest,a2U6F000002L7xMUAS,a2U6F000002L7xGUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,20/03/2020,Dinamo Brest,Smolevichi,a2U6F000002L7xXUAS,a2U6F000002L7xCUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,20/05/2020,Dinamo Brest,Bate Borisov,a2U6F000002L7xXUAS,a2U6F000002L7xFUAS,Belarus,1,3,4,-2,1,1,2,0,0,2,2,-2
,,,,,,,,,,,20/06/2020,Dinamo Minsk,BGU Minsk,a2U6F000002L7xMUAS,a2U6F000002L7xEUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,20/06/2020,Dinamo Brest,Gorodeya,a2U6F000002L7xXUAS,a2U6F000002L7xaUAC,Belarus,3,1,4,2,1,1,2,0,2,0,2,2
,,,,,,,,,,,20/06/2020,Isloch,Belaz Zhodino,a2U6F000002L7xbUAC,a2U6F000002L7xDUAS,Belarus,2,2,4,0,0,1,1,-1,2,1,3,1
,,,,,,,,,,,20/09/2020,Slavia Mozyr,Soligorsk,a2U6F000002L7xRUAS,a2U6F000002L7xWUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,20/09/2020,Slutsk,Bate Borisov,a2U6F000002L7xLUAS,a2U6F000002L7xFUAS,Belarus,1,3,4,-2,1,2,3,-1,0,1,1,-1
,,,,,,,,,,,20/09/2020,Isloch,Dinamo Minsk,a2U6F000002L7xbUAC,a2U6F000002L7xMUAS,Belarus,2,1,3,1,1,0,1,1,1,1,2,0
,,,,,,,,,,,21/03/2020,Isloch,Neman,a2U6F000002L7xbUAC,a2U6F000002L7xYUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,21/03/2020,Vitebsk,Gorodeya,a2U6F000002L7xQUAS,a2U6F000002L7xaUAC,Belarus,1,0,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,21/05/2020,Neman,Belaz Zhodino,a2U6F000002L7xYUAS,a2U6F000002L7xDUAS,Belarus,3,1,4,2,1,1,2,0,2,0,2,2
,,,,,,,,,,,21/06/2020,Soligorsk,Ruh Brest,a2U6F000002L7xWUAS,a2U6F000002L7xGUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,21/06/2020,Vitebsk,Minsk,a2U6F000002L7xQUAS,a2U6F000002L7xBUAS,Belarus,1,0,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,21/06/2020,Belshina,Bate Borisov,a2U6F000002L7xVUAS,a2U6F000002L7xFUAS,Belarus,0,2,2,-2,0,1,1,-1,0,1,1,-1
,,,,,,,,,,,21/08/2020,Dinamo Brest,Belshina,a2U6F000002L7xXUAS,a2U6F000002L7xVUAS,Belarus,1,2,3,-1,0,1,1,-1,1,1,2,0
,,,,,,,,,,,21/08/2020,Isloch,Soligorsk,a2U6F000002L7xbUAC,a2U6F000002L7xWUAS,Belarus,4,2,6,2,1,0,1,1,3,2,5,1
,,,,,,,,,,,21/08/2020,Slutsk,Dinamo Minsk,a2U6F000002L7xLUAS,a2U6F000002L7xMUAS,Belarus,1,2,3,-1,1,1,2,0,0,1,1,-1
,,,,,,,,,,,22/03/2020,Belshina,Minsk,a2U6F000002L7xVUAS,a2U6F000002L7xBUAS,Belarus,1,3,4,-2,1,0,1,1,0,3,3,-3
,,,,,,,,,,,22/03/2020,Slutsk,Slavia Mozyr,a2U6F000002L7xLUAS,a2U6F000002L7xRUAS,Belarus,3,1,4,2,1,1,2,0,2,0,2,2
,,,,,,,,,,,22/05/2020,Soligorsk,Belshina,a2U6F000002L7xWUAS,a2U6F000002L7xVUAS,Belarus,4,0,4,4,1,0,1,1,3,0,3,3
,,,,,,,,,,,22/05/2020,Slavia Mozyr,Gorodeya,a2U6F000002L7xRUAS,a2U6F000002L7xaUAC,Belarus,1,1,2,0,0,1,1,-1,1,0,1,1
